type,size,ocall,noenc,fullenc,baseline,
read,4,8051.000000,6585.000000,6668.000000,453.000000,
read,4,8065.000000,6468.000000,6516.000000,459.000000,
read,4,8079.000000,6571.000000,6531.000000,426.000000,
read,4,8075.000000,6729.000000,7272.000000,434.000000,
read,4,8076.000000,6356.000000,6821.000000,425.000000,
read,4,8107.000000,6720.000000,7118.000000,449.000000,
read,4,8086.000000,6691.000000,6902.000000,438.000000,
read,4,8081.000000,6792.000000,6622.000000,418.000000,
read,4,8071.000000,6542.000000,6698.000000,446.000000,
read,4,8062.000000,6291.000000,6529.000000,444.000000,
read,4,8096.000000,6412.000000,6657.000000,433.000000,
read,4,8069.000000,6352.000000,6503.000000,475.000000,
read,4,8084.000000,6586.000000,6553.000000,461.000000,
read,4,8079.000000,6395.000000,6622.000000,419.000000,
read,4,8079.000000,6645.000000,6551.000000,443.000000,
read,4,8051.000000,6400.000000,6795.000000,435.000000,
read,4,8084.000000,6395.000000,6698.000000,459.000000,
read,4,8094.000000,6379.000000,7360.000000,462.000000,
read,4,8044.000000,6394.000000,6661.000000,449.000000,
read,4,8053.000000,6424.000000,6604.000000,426.000000,
read,4,8043.000000,6452.000000,6703.000000,443.000000,
read,4,8070.000000,6457.000000,6566.000000,440.000000,
read,4,8084.000000,6842.000000,6781.000000,405.000000,
read,4,8044.000000,6547.000000,6676.000000,467.000000,
read,4,8060.000000,6305.000000,6681.000000,446.000000,
read,4,8064.000000,6515.000000,6566.000000,417.000000,
read,4,8078.000000,6284.000000,7298.000000,444.000000,
read,4,8081.000000,6564.000000,6714.000000,422.000000,
read,4,8079.000000,6508.000000,6627.000000,467.000000,
read,4,8073.000000,6606.000000,6608.000000,459.000000,
read,4,8093.000000,6312.000000,6625.000000,432.000000,
read,4,8049.000000,6332.000000,7169.000000,443.000000,
read,4,8066.000000,6370.000000,6736.000000,436.000000,
read,4,8088.000000,6547.000000,6734.000000,447.000000,
read,4,8065.000000,6719.000000,6638.000000,453.000000,
read,4,8076.000000,6392.000000,6652.000000,463.000000,
read,4,8077.000000,6350.000000,6604.000000,423.000000,
read,4,8113.000000,6542.000000,6651.000000,435.000000,
read,4,8078.000000,6421.000000,6528.000000,437.000000,
read,4,8062.000000,6371.000000,6583.000000,463.000000,
read,4,8071.000000,6645.000000,6649.000000,437.000000,
read,4,8081.000000,6653.000000,6660.000000,429.000000,
read,4,8071.000000,6847.000000,6653.000000,427.000000,
read,4,8071.000000,6444.000000,6622.000000,431.000000,
read,4,8075.000000,6575.000000,6550.000000,430.000000,
read,4,8118.000000,6623.000000,7067.000000,455.000000,
read,4,8076.000000,6567.000000,6799.000000,459.000000,
read,4,8079.000000,6745.000000,6516.000000,449.000000,
read,4,8071.000000,6619.000000,6585.000000,429.000000,
read,4,8104.000000,6340.000000,6670.000000,433.000000,
read,4,8071.000000,6435.000000,6651.000000,453.000000,
read,4,8071.000000,6649.000000,6495.000000,445.000000,
read,4,8067.000000,6631.000000,6693.000000,429.000000,
read,4,8106.000000,6518.000000,6491.000000,442.000000,
read,4,8082.000000,6364.000000,6535.000000,420.000000,
read,4,8090.000000,6640.000000,6639.000000,448.000000,
read,4,8093.000000,6372.000000,6803.000000,461.000000,
read,4,8078.000000,6244.000000,7313.000000,422.000000,
read,4,8069.000000,6596.000000,6522.000000,436.000000,
read,4,8051.000000,6566.000000,7075.000000,425.000000,
read,4,8068.000000,6447.000000,6515.000000,458.000000,
read,4,8072.000000,6752.000000,6486.000000,455.000000,
read,4,8053.000000,6501.000000,6636.000000,425.000000,
read,4,8056.000000,6615.000000,6837.000000,453.000000,
read,4,8094.000000,6565.000000,6843.000000,433.000000,
read,4,8117.000000,6678.000000,6645.000000,415.000000,
read,4,8067.000000,6473.000000,6446.000000,458.000000,
read,4,8077.000000,6368.000000,6495.000000,446.000000,
read,4,8118.000000,6500.000000,6651.000000,414.000000,
read,4,8095.000000,6558.000000,6786.000000,435.000000,
read,4,8052.000000,6786.000000,6666.000000,425.000000,
read,4,8047.000000,6703.000000,6536.000000,453.000000,
read,4,8090.000000,6421.000000,6462.000000,450.000000,
read,4,20770.000000,6740.000000,7188.000000,448.000000,
read,4,8288.000000,6454.000000,6541.000000,465.000000,
read,4,22517.000000,6702.000000,6510.000000,422.000000,
read,4,12349.000000,6574.000000,6677.000000,433.000000,
read,4,8070.000000,6423.000000,6786.000000,453.000000,
read,4,8069.000000,6565.000000,6758.000000,440.000000,
read,4,8118.000000,6296.000000,6606.000000,443.000000,
read,4,8104.000000,6795.000000,6650.000000,424.000000,
read,4,8103.000000,6655.000000,6462.000000,451.000000,
read,4,8082.000000,6418.000000,7100.000000,460.000000,
read,4,8098.000000,6368.000000,6717.000000,401.000000,
read,4,8103.000000,6665.000000,7218.000000,449.000000,
read,4,8090.000000,6700.000000,6643.000000,435.000000,
